"name","name_ascii","type","county_fips","state_id","state_name","lat","lng","population"
"Seabrook","Seabrook","City","48201","TX","Texas","29.5751","-95.0235","13487"
"Scurry","Scurry","City","48257","TX","Texas","32.5125","-96.3846","573"
"Scottsville","Scottsville","City","48203","TX","Texas","32.5317","-94.2464","315"
"Scotland","Scotland","City","48009","TX","Texas","33.6499","-98.4677","535"
"Scissors","Scissors","City","48215","TX","Texas","26.1333","-98.0475","4052"
"Schulenburg","Schulenburg","City","48149","TX","Texas","29.682","-96.9075","2639"
"Schertz","Schertz","City","48029","TX","Texas","29.565","-98.2535","41607"
"Scenic Oaks","Scenic Oaks","City","48029","TX","Texas","29.7038","-98.6712","9136"
"Savoy","Savoy","City","48147","TX","Texas","33.5999","-96.3662","943"
"Savannah","Savannah","City","48121","TX","Texas","33.2257","-96.9081","6565"
"Sarita","Sarita","City","48261","TX","Texas","27.2235","-97.7955","164"
"Sargent","Sargent","City","48321","TX","Texas","28.7966","-95.6465","1319"
"Santo","Santo","City","48363","TX","Texas","32.6056","-98.2138","308"
"Santel","Santel","City","48427","TX","Texas","26.3756","-98.8833","12"
"Santa Rosa","Santa Rosa","City","48061","TX","Texas","26.2561","-97.8252","2873"
"Santa Rita Ranch","Santa Rita Ranch","City","48491","TX","Texas","30.6642","-97.8328","3410"
"Santa Monica","Santa Monica","City","48489","TX","Texas","26.3654","-97.59","10"
